Year,Extra  State,Interstate,Internationalized Interstate,Intrastate
1946,5,2,2,8
1947,5,,,9
1948,5,3,,12
1949,5,3,,12
1950,5,2,,11
1951,4,2,,8
1952,5,2,,7
1953,7,1,,8
1954,6,1,,8
1955,6,,,7
1956,6,2,,9
1957,6,1,1,9
1958,5,1,1,11
1959,3,,1,12
1960,1,,3,12
1961,2,1,2,16
1962,3,2,2,13
1963,2,2,3,13
1964,4,3,4,14
1965,4,3,2,18
1966,4,2,2,20
1967,4,5,2,22
1968,3,1,2,20
1969,3,5,4,17
1970,3,2,5,16
1971,3,2,4,20
1972,3,2,4,17
1973,3,3,3,17
1974,2,3,2,20
1975,,2,4,24
1976,,1,2,29
1977,,3,4,29
1978,,4,5,29
1979,,3,4,34
1980,,3,8,30
1981,,2,7,32
1982,,2,5,36
1983,,4,6,33
1984,,3,5,34
1985,,2,4,32
1986,,3,5,36
1987,,5,5,37
1988,,3,4,32
1989,,2,5,36
1990,,2,3,45
1991,,2,1,48
1992,,1,3,49
1993,,,5,40
1994,,,1,46
1995,,1,1,39
1996,,2,2,37
1997,,1,2,36
1998,,2,4,34
1999,,2,5,32
2000,,2,4,31
2001,,1,5,30
2002,,1,3,28
2003,,2,2,26
2004,,,4,28
2005,,,6,26
2006,,,6,27
2007,,,5,30
2008,,1,6,30
2009,,,8,28
2010,,,9,21
